fname,mname,lname,uname,email,password,date
William,,Pelletier,wpelletier,wpelletier.development@yahoo.com,1234,2000-08-24
Dylan,J,Carlson,acefate,djcarlson2@gmail.com,scarface,1987-11-17
Rowan,,Harris,mssh,rowan.haris@gmail.com,gabriel,2007-11-02
Kohen,,Jacks,goodes,khoenthegoodes@yahoo.com,777777,2003-11-28
Sam,Bob,Tillsley,popclever,samueltillsley@hotmail.com,nikita,1972-11-17
Bryson,,Granholm,crispletch,bgranholm99@protonmail.com,princess1,1983-06-11
Tyler,George,Gale,gotta,tylergeorge@gmail.com,tuning,1984-12-26
Mason,,Fenetry,ySilver,mason343@yahoo.com,bandit,1978-09-13
Joshua,,Watson,sirus,siruswatson@outlook.com,julie,2003-12-13
Rory,,Rogers,destiny,rroger@gmail.com,tomtom,2000-06-16
Brody,,Goddard,brody232,brodyg123@yahoo.com,lucas,2005-02-07
